Sales Record Number,Buyer Username,Buyer Country,Ship To City,Ship To State,Item Number,Item Title,SKU,Sold Via Promoted Listings,Quantity,Sold For,Item Location,Total Price,Sale Date,Minimum Estimated Delivery Date,Maximum Estimated Delivery Date,Shipped On Date,Feedback Received,Shipping Service,Cancel_Order
15082,jmjem_fazm8cl,United States,Houston,TX,134521260223,"COHO 27L IP67 Waterproof Pack and Carry Box, Waterproof Hard Case",879854002887-C-P-L1-49.99,No,1.0,76.99,"Arlington Heights, Illinois",83.34,2023-07-24,2023-07-28,2023-07-28,2023-07-24,positive,USPS Ground Advantage,No
15081,mighty_roblonious,United States,Paris,TX,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,2.0,47.99,"Arlington Heights, Illinois",103.9,2023-07-24,2023-07-29,2023-07-29,2023-07-24,No Feedback,USPS Ground Advantage,No
15080,lih8553_mob0f3v,United States,Whitestone,NY,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-W-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",55.52,2023-07-24,2023-07-29,2023-07-29,2023-07-24,No Feedback,USPS Ground Advantage,No
15079,faroukaren,United States,San Tan Valley,AZ,133900092939,"Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs, 3 lb. Bag",884713001314-C-P-L2-20.99,No,1.0,38.99,"Arlington Heights, Illinois",41.6,2023-07-24,2023-07-28,2023-07-28,2023-07-24,positive,USPS Ground Advantage,No
15078,rjav3870,United States,Bronx,NY,133943206352,VAULTEK LifePod Secure Waterproof Travel Case ,850012691822-C-P-L1-99.99,No,1.0,146.99,"Elk Grove Village, Illinois",160.04,2023-07-24,2023-07-28,2023-08-02,2023-07-24,No Feedback,USPS Ground Advantage,No
15076,drshel,United States,Christiansburg,VA,134643110831,Robert Rothschild Farm Roasted Pineapple & Habanero Gourmet Glaze and Finishing,011246999225-C-P-L4-31.96,No,1.0,53.99,"Arlington Heights, Illinois",27.27,2023-07-24,2023-07-29,2023-07-29,2023-07-24,No Feedback,USPS Ground Advantage,No
15077,esther49201,United States,Jackson,MI,134030945886,"Tully's French Roast K-Cup Pods (0.4 oz. ea., 100 ct.)",611247355077-CB-F-L1-44.99,No,1.0,63.15,"Elk Grove Village, Illinois",63.15,2023-07-24,2023-07-28,2023-07-28,2023-07-24,neutral,USPS Ground Advantage,No
15075,sulua-lu-mudrnk,United States,Pacoima,CA,133418268429,"Red Star Nutritional Active High Volume Dry Yeast, 2 Pound ( 6 per case",117929157002-C-P-L1-34.74,No,1.0,51.95,"Arlington Heights, Illinois",51.95,2023-07-23,2023-07-28,2023-07-28,2023-07-23,No Feedback,USPS Ground Advantage,No
15074,stealofadeal73,United States,Salina,KS,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.23,2023-07-23,2023-07-28,2023-07-28,2023-07-23,No Feedback,USPS Ground Advantage,No
15073,maximugregor-0,United States,Los Angeles,CA,134512632742,"Dust-Off Disposable Compressed Gas Duster, 10 oz Cans, 12 Pack",086216117947-S-P-L3-43.44,No,1.0,68.55,"Arlington Heights, Illinois",75.06,2023-07-23,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Ground Advantage,No
15072,zippy3088,United States,Holtwood,PA,134149024977,Tommy Bahama Backpack Beach Chair-New 2022 Designs-5-Position Classic,5456887654333-C-P-L1-39.99,No,1.0,60.99,"Arlington Heights, Illinois",64.65,2023-07-23,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Ground Advantage,No
15071,emm22728,United States,Bay Saint Louis,MS,134643110831,Robert Rothschild Farm Roasted Pineapple & Habanero Gourmet Glaze and Finishing,011246999225-C-P-L4-31.96,No,1.0,53.99,"Arlington Heights, Illinois",57.77,2023-07-23,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Ground Advantage,No
15070,603amaury,United States,concord,NH,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",47.99,2023-07-23,2023-07-29,2023-07-29,2023-07-23,No Feedback,USPS Ground Advantage,No
15069,youzereyedee,United States,Boca Raton,FL,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",61.99,2023-07-22,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15068,h.ber-803,United States,New London,CT,134558270660,"Cabot Extra Sharp White Cheddar Cheese Brick, 2 lb",078354711989-S-S-L1-8.98,No,1.0,29.99,"Arlington Heights, Illinois",29.99,2023-07-22,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Ground Advantage,No
15067,sangmyoungh9,United States,Agawam,MA,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",47.99,2023-07-22,2023-07-31,2023-07-31,2023-07-23,No Feedback,USPS Ground Advantage,No
15066,allan798,United States,Vancouver,WA,134528920141,Member's Mark Thai Jasmine Rice (50 lb.),078742292984-S-P-L2-35.96,No,7.0,69.99,"Arlington Heights, Illinois",489.93,2023-07-22,2023-08-02,2023-08-02,2023-07-23,positive,USPS Ground Advantage,No
15065,fatboyfishing0,United States,Lowndesboro,AL,134048296588,"Kirkland Signature Compactor Bags, 18 Gallon, Smart Fit  2 Pack (70 Count)",096619503292-CB-P-L1-29.98,No,1.0,49.99,"Arlington Heights, Illinois",53.99,2023-07-22,2023-07-31,2023-07-31,2023-07-23,positive,USPS Ground Advantage,No
15064,mathealve0,Canada,Glendale Heights,IL,134527365282,Tramontina Double Wall Stainless Steel Mixing Bowls (3-Pack),016017138957-CB-P-L1-19.99,No,1.0,38.99,"Arlington Heights, Illinois",43.67,2023-07-22,2023-08-03,2023-08-15,2023-07-23,No Feedback,USPS Ground Advantage,No
15063,crashcarruthers,United States,Morrilton,AR,134527365282,Tramontina Double Wall Stainless Steel Mixing Bowls (3-Pack),016017138957-CB-P-L1-19.99,No,1.0,38.99,"Arlington Heights, Illinois",0.0,2023-07-21,2023-07-28,2023-07-28,2023-07-22,No Feedback,USPS Ground Advantage,Yes
15062,crashcarruthers,United States,Morrilton,AR,134527365282,Tramontina Double Wall Stainless Steel Mixing Bowls (3-Pack),016017138957-CB-P-L1-19.99,No,1.0,38.99,"Arlington Heights, Illinois",0.0,2023-07-21,2023-07-28,2023-07-28,2023-07-22,No Feedback,USPS Ground Advantage,Yes
15061,jare_1548,United States,Rogers,AR,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,2.0,47.99,"Arlington Heights, Illinois",105.1,2023-07-21,2023-07-28,2023-07-28,2023-07-22,No Feedback,USPS Ground Advantage,No
15060,cumulist,United States,Carlsbad,CA,134263513883,Pearson's Nut Goodie Bar | Loaded with Roasted Peanuts Pack of 24 - 1.75 oz.,077290128110-CB-F-L1-13.49,No,1.0,29.99,"Arlington Heights, Illinois",29.99,2023-07-20,2023-07-28,2023-07-28,2023-07-21,positive,USPS Ground Advantage,No
15059,magicalqst,United States,Pasadena,CA,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",61.99,2023-07-20,2023-07-24,2023-07-24,2023-07-21,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15058,jroder1975,United States,Rayne,LA,133854472432,"(Case of 6) Coleman Propane Tanks Fuel Camping,hunting,Cooking🔥🔥 FREE SHIPPING",014045324236-W-P-L2-30.00,No,1.0,50.99,"Arlington Heights, Illinois",55.3,2023-07-20,2023-07-26,2023-07-26,2023-07-21,positive,USPS Ground Advantage,No
15057,12francisco,United States,LOS ANGELES,CA,133444443719,Coleman Butane / Propane Mix Fuel (Mix Fuel 7.75 oz.,076501215779-W-P1-L1-5.75,No,1.0,19.99,"Arlington Heights, Illinois",19.99,2023-07-20,2023-07-24,2023-07-24,2023-07-21,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15056,patgib_31,United States,Fulton,AR,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",52.07,2023-07-20,2023-07-25,2023-07-25,2023-07-21,positive,USPS Ground Advantage,No
15055,mek822,United States,Dearborn,MI,134281563525,Hoody's Peanut Butter Chocolate Mix - 2 Pack,041616203362-C-P-L2-19.98,No,1.0,38.99,"Arlington Heights, Illinois",38.99,2023-07-19,2023-07-24,2023-07-24,2023-07-19,No Feedback,USPS Ground Advantage,No
15054,clfevig11,United States,green valley,AZ,134263513883,Pearson's Nut Goodie Bar | Loaded with Roasted Peanuts Pack of 24 - 1.75 oz.,077290128110-CB-F-L1-13.49,No,1.0,29.99,"Arlington Heights, Illinois",29.99,2023-07-19,2023-07-25,2023-07-25,2023-07-19,No Feedback,USPS Ground Advantage,No
15053,iamfeesh,United States,Hermitage,TN,134577200719,"Kohler 13 Gallon Hands-Free Kitchen Step, Trash Can with Foot Pedal, Quiet-Close",885612849670-C-P-L1-79.99,No,1.0,114.99,"Arlington Heights, Illinois",125.63,2023-07-19,2023-07-24,2023-07-24,2023-07-19,No Feedback,USPS Ground Advantage,No
15052,rhatphlegm,United States,Tuscola,TX,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.99,2023-07-18,2023-07-24,2023-07-24,2023-07-19,No Feedback,USPS Ground Advantage,No
15050,stripperwhite,United States,WARSAW,MO,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.98,2023-07-18,2023-07-24,2023-07-24,2023-07-19,No Feedback,USPS Ground Advantage,No
15051,stripperwhite,United States,WARSAW,MO,133187011231,"Dubble Bubble-Gumballs 1"" in Diameter Variety Pack, 850 Gumballs",059642010083-S-P-L1-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.98,2023-07-18,2023-07-24,2023-07-27,2023-07-19,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15049,arcadia5930,United States,Avon Park,FL,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.59,2023-07-18,2023-07-25,2023-07-25,2023-07-19,No Feedback,USPS Ground Advantage,No
15048,bu-91300,United States,Suffolk,VA,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",48.47,2023-07-18,2023-07-22,2023-07-22,2023-07-19,No Feedback,USPS Ground Advantage,No
15047,alafho,United States,Millbury,MA,134498537314,"Red Vines- Original Red Twists, 5.5lb Tub",041364113302-CB-P-L1-10.49,No,1.0,27.99,"Arlington Heights, Illinois",27.99,2023-07-17,2023-07-24,2023-07-24,2023-07-18,positive,USPS Ground Advantage,No
15046,yazospatflute,United States,Naples,ID,134643110831,Robert Rothschild Farm Roasted Pineapple & Habanero Gourmet Glaze and Finishing,011246999225-C-P-L4-31.96,No,1.0,53.99,"Arlington Heights, Illinois",57.23,2023-07-16,2023-07-21,2023-07-21,2023-07-16,positive,USPS Ground Advantage,No
15045,mcdanjosep,United States,Mansfield,OH,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",47.99,2023-07-16,2023-07-20,2023-07-20,2023-07-16,No Feedback,USPS Ground Advantage,No
15044,debra1057,United States,lizella,GA,133850884911,Tootsie Roll Andes Crème de Menthe Individually Wrapped Thin Mints 240 Count,041186000866-CB-F-L2-12.79,No,1.0,27.55,"Arlington Heights, Illinois",28.65,2023-07-16,2023-07-22,2023-07-22,2023-07-16,No Feedback,USPS Ground Advantage,No
15043,loadstuff,United States,Bryn Mawr,PA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",64.19,2023-07-16,2023-08-04,2023-08-04,2023-07-16,positive,USPS Ground Advantage,No
15042,smlt1948,United States,Rocky Point,NC,134512632742,"Dust-Off Disposable Compressed Gas Duster, 10 oz Cans, 12 Pack",086216117947-S-P-L3-43.44,No,1.0,68.55,"Arlington Heights, Illinois",73.18,2023-07-16,2023-07-22,2023-07-22,2023-07-16,No Feedback,USPS Ground Advantage,No
15041,s0546132,United States,Lakewood,NJ,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",0.0,2023-07-16,2023-08-04,2023-08-04,2023-07-16,No Feedback,USPS Ground Advantage,Yes
15040,holllars,United States,Orem,UT,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",64.94,2023-07-16,2023-08-04,2023-08-04,2023-07-16,No Feedback,USPS Ground Advantage,No
15039,bilo.us.mukwfg,United States,Colton,CA,134503117903,"Kirklans Signature Nature'S Domain Turkey Dog Food, 35 Lb",096619533336-C-P-L47-37.99,No,1.0,63.15,"Arlington Heights, Illinois",68.68,2023-07-15,2023-07-24,2023-07-24,2023-07-16,positive,USPS Ground Advantage,No
15038,con111pool,United States,Panama City Beach,FL,134539183041,"Diet Pepsi Cola Soda, 24 Ounce (24 Bottles)",012000171994-CB-P-L1-21.99,No,1.0,47.99,"Arlington Heights, Illinois",51.35,2023-07-15,2023-07-25,2023-07-25,2023-07-16,No Feedback,USPS Ground Advantage,No
15037,lindabuys.123,United States,Sandy,OR,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",60.55,2023-07-15,2023-08-07,2023-08-07,2023-07-16,No Feedback,USPS Ground Advantage,No
15036,s0546132,United States,Lakewood,NJ,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",0.0,2023-07-15,2023-08-04,2023-08-04,2023-07-16,No Feedback,USPS Ground Advantage,Yes
15035,24002percy,United States,Valencia,CA,133900092939,"Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs, 3 lb. Bag",884713001314-C-P-L2-20.99,No,1.0,38.99,"Arlington Heights, Illinois",42.69,2023-07-15,2023-07-21,2023-07-21,2023-07-16,positive,USPS Ground Advantage,No
15034,slm007il,United States,Shelbyville,IL,133440155814,Alpino Brand Hot Pepper Mix - 64oz,732702410640-S-P-L1-7.38,No,1.0,23.15,"Arlington Heights, Illinois",23.38,2023-07-15,2023-07-21,2023-07-21,2023-07-16,positive,USPS Priority Mail Flat Rate Envelope,No
15033,devi_226,United States,Monroe Township,NJ,133440155814,Alpino Brand Hot Pepper Mix - 64oz,732702410640-S-P-L1-7.38,No,1.0,23.15,"Arlington Heights, Illinois",23.15,2023-07-14,2023-07-21,2023-07-21,2023-07-14,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15032,christophepearso74,United States,pahrump,NV,134548020229,"Pearson's Original Salted Nut Roll Candy Bar, 2.2 Ounce Bars - 1 Box 24 Bars",0772901329278-CB-F-L1-14.49,No,1.0,32.55,"Arlington Heights, Illinois",35.02,2023-07-14,2023-07-21,2023-07-21,2023-07-14,No Feedback,USPS Ground Advantage,No
15031,lonnamarie47,United States,mt aukum,CA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",64.94,2023-07-14,2023-07-31,2023-07-31,2023-07-16,No Feedback,USPS Ground Advantage,No
15030,goods-267727,United States,Bristow,OK,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,4.0,47.99,"Arlington Heights, Illinois",212.44,2023-07-14,2023-07-21,2023-07-21,2023-07-14,No Feedback,USPS Ground Advantage,No
15029,jaws171171,United States,Cibolo,TX,133802225093,"Martinelli's Apple Juice Pet, 10-Ounce (24 Pack)",041244241088-CB-P-L1-23.99,No,1.0,47.95,"Arlington Heights, Illinois",0.0,2023-07-14,2023-07-28,2023-07-28,2023-07-14,No Feedback,USPS Ground Advantage,Yes
15028,fer-10172,United States,Santa Barbara,CA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",65.24,2023-07-14,2023-08-04,2023-08-04,2023-07-14,No Feedback,USPS Ground Advantage,No
15027,mudnbrick,United States,Roanoke,VA,133188489323,"Super Stacker, Document Boxes, Assorted Colors, 5 Pack",091141380892-S-P-L1-24.98,No,2.0,44.95,"Arlington Heights, Illinois",94.66,2023-07-14,2023-07-22,2023-07-22,2023-07-14,positive,USPS Priority Mail Flat Rate Envelope,No
15026,buff-sheen,United States,Boise,ID,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",64.19,2023-07-13,2023-07-17,2023-07-17,2023-07-13,No Feedback,USPS Ground Advantage,No
15025,ccam8000,United States,madison heights,VA,134079489730,12 PACK - COLEMAN PROPANE 16.4OZ,014045324236-W-P-L2-60.00,No,2.0,85.99,"Arlington Heights, Illinois",181.09,2023-07-13,2023-07-19,2023-07-19,2023-07-13,No Feedback,USPS Ground Advantage,No
15024,qutie9,United States,Miami,FL,134577200719,"Kohler 13 Gallon Hands-Free Kitchen Step, Trash Can with Foot Pedal, Quiet-Close",885612849670-C-P-L1-79.99,No,2.0,114.99,"Arlington Heights, Illinois",246.08,2023-07-13,2023-07-22,2023-07-22,2023-07-13,neutral,USPS Ground Advantage,No
15023,roiovinell-0,United States,Las Vegas,NV,134100532382,One Degree Gluten Free Sprouted Rolled Oats 5 lbs.,675625371189-C-P1-9.99,No,1.0,25.99,"Arlington Heights, Illinois",25.99,2023-07-13,2023-07-22,2023-07-22,2023-07-13,No Feedback,USPS Ground Advantage,No
15022,uont1,United States,Bakersfield,CA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",65.55,2023-07-13,2023-07-24,2023-07-24,2023-07-13,positive,USPS Ground Advantage,No
15021,guidewheel1,United States,WILDOMAR,CA,133187011231,"Dubble Bubble-Gumballs 1"" in Diameter Variety Pack, 850 Gumballs",059642010083-S-P-L1-27.99,No,9.0,47.99,"Arlington Heights, Illinois",431.91,2023-07-13,2023-07-17,2023-07-17,2023-07-13,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15020,rdgilmdent,United States,Redmond,OR,134045385774,Cheese Fruit and Nut Packs,096619301478-C-P-L1-11.99,No,5.0,27.19,"Elk Grove Village, Illinois",135.95,2023-07-13,2023-07-22,2023-07-22,2023-07-13,No Feedback,USPS Priority Mail,No
15019,lasswel-8,United States,Newark,IL,134609860281,igloo (Igloo) Max Call Cooler Box 62 QT / 58 L Maximum Cold Storage 5 Days,62836383927-C-P-L1-49.99,No,1.0,92.99,"Arlington Heights, Illinois",99.03,2023-07-13,2023-07-17,2023-07-17,2023-07-13,No Feedback,USPS Ground Advantage,No
15018,huerta1,United States,Plainville,CT,133187011231,"Dubble Bubble-Gumballs 1"" in Diameter Variety Pack, 850 Gumballs",059642010083-S-P-L1-27.99,No,3.0,47.99,"Arlington Heights, Illinois",153.11,2023-07-13,2023-07-19,2023-07-19,2023-07-13,positive,USPS Priority Mail Flat Rate Envelope,No
15017,valvnd44,United States,Aniwa,WI,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,2.0,47.99,"Arlington Heights, Illinois",101.26,2023-07-13,2023-07-18,2023-07-18,2023-07-13,positive,USPS Ground Advantage,No
15016,sigorney,United States,Lake Geneva,WI,134155378193,WOW World of Watersports Bingo Cockpit Inflatable Towable Cockpit,4897034347104-S-P-L1-199.98,No,1.0,289.99,"Arlington Heights, Illinois",305.94,2023-07-13,2023-07-17,2023-07-17,2023-07-13,No Feedback,USPS Ground Advantage,No
15015,alsen7078,United States,San Francisco,CA,134263513883,Pearson's Nut Goodie Bar | Loaded with Roasted Peanuts Pack of 24 - 1.75 oz.,077290128110-CB-F-L1-13.49,No,1.0,29.99,"Arlington Heights, Illinois",29.99,2023-07-13,2023-07-22,2023-07-22,2023-07-13,No Feedback,USPS Ground Advantage,No
15014,plfwd,United States,Kansas City,MO,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",65.08,2023-07-13,2023-07-18,2023-07-18,2023-07-13,positive,USPS Ground Advantage,No
15013,fjc-5129,United States,LAREDO,TX,134030945886,"Tully's French Roast K-Cup Pods (0.4 oz. ea., 100 ct.)",611247355077-CB-F-L1-42.99,No,3.0,62.15,"Elk Grove Village, Illinois",186.45,2023-07-12,2023-07-19,2023-07-19,2023-07-13,No Feedback,USPS Ground Advantage,No
15012,rogdi-35,United States,Eau Claire,WI,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.63,2023-07-12,2023-07-17,2023-07-17,2023-07-13,No Feedback,USPS Ground Advantage,No
15011,cyber.xzt,United States,Warsaw,NY,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.83,2023-07-12,2023-07-17,2023-07-17,2023-07-13,positive,USPS Ground Advantage,No
15010,anrow_63,United States,Pittsburg,CA,134615169289,Coleman 316 Series Insulated Portable Cooler with Heavy Duty Latches,076501164107-MD-P-L1-44.99,No,1.0,72.55,"Arlington Heights, Illinois",79.26,2023-07-12,2023-07-17,2023-07-17,2023-07-13,negative,USPS Ground Advantage,No
15009,moral_juand,United States,Mill Spring,NC,133187011231,"Dubble Bubble-Gumballs 1"" in Diameter Variety Pack, 850 Gumballs",059642010083-S-P-L1-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.23,2023-07-11,2023-07-18,2023-07-18,2023-07-11,positive,USPS Priority Mail Flat Rate Envelope,No
15008,roabcrg29,United States,Durant,OK,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,2.0,47.99,"Arlington Heights, Illinois",104.98,2023-07-11,2023-07-17,2023-07-17,2023-07-11,No Feedback,USPS Ground Advantage,No
15007,collectionhobbycards,United States,Iowa Park,TX,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.99,2023-07-11,2023-07-19,2023-07-19,2023-07-11,No Feedback,USPS Ground Advantage,No
15006,teamfebreeze,United States,Bozeman,MT,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",60.55,2023-07-11,2023-07-17,2023-07-17,2023-07-11,No Feedback,USPS Ground Advantage,No
15005,cyndod65,United States,Florence,KY,133187011231,"Dubble Bubble-Gumballs 1"" in Diameter Variety Pack, 850 Gumballs",059642010083-S-P-L1-27.99,No,1.0,47.99,"Arlington Heights, Illinois",50.87,2023-07-11,2023-07-15,2023-07-15,2023-07-11,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15004,cansecomart25_3,United States,Chisago City,MN,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.53,2023-07-10,2023-07-14,2023-07-14,2023-07-10,No Feedback,USPS Parcel Select / Ground Advantage,No
15003,mrgoldfi-95,United States,Charlotte,NC,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.47,2023-07-10,2023-07-20,2023-07-20,2023-07-10,No Feedback,USPS Parcel Select / Ground Advantage,No
15002,anrow_63,United States,Tenino,WA,134615169289,Coleman 316 Series Insulated Portable Cooler with Heavy Duty Latches,076501164107-MD-P-L1-44.99,No,1.0,72.55,"Arlington Heights, Illinois",78.43,2023-07-10,2023-07-17,2023-07-17,2023-07-10,negative,USPS Parcel Select / Ground Advantage,No
15001,dwal2277,United States,Columbus,KS,133255797909,"Tassos Double Stuffed Jalapeno and Garlic Olives, 1 Liter (pack of 6",652878008635-C-P-L6-40.74,No,1.0,61.99,"Arlington Heights, Illinois",32.71,2023-07-10,2023-07-17,2023-07-17,2023-07-10,No Feedback,USPS Priority Mail Flat Rate Envelope,No
15000,mach_690,United States,Eagan,MN,133229807812,Dubble Bubble Fruit Gumballs (850 ct.,059642010083-S-P-L4-27.99,No,1.0,47.99,"Arlington Heights, Illinois",51.41,2023-07-09,2023-07-15,2023-07-15,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14999,rivercityrick,United States,Syracuse,NY,133802225093,"Martinelli's Apple Juice Pet, 10-Ounce (24 Pack)",041244241088-CB-P-L1-23.99,No,2.0,47.95,"Arlington Heights, Illinois",103.57,2023-07-09,2023-07-20,2023-07-20,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14998,jinmar5,United States,Omaha,NE,133900092939,"Farmland Traditions Dogs Love Chicken Premium Jerky Treats for Dogs, 3 lb. Bag",884713001314-C-P-L2-20.99,No,1.0,38.99,"Arlington Heights, Illinois",41.72,2023-07-09,2023-07-15,2023-07-15,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14997,lshreve1991,United States,Huntington Beach,CA,134436008609,Serta Perfect Sleeper Standard/Queen 300 Thread Count Recycled -2 PACK,034086609901-S-P-L1-12.98,No,1.0,30.99,"Arlington Heights, Illinois",33.39,2023-07-09,2023-07-15,2023-07-15,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14996,ms-foxy,United States,Key Largo,FL,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",65.09,2023-07-09,2023-07-14,2023-07-14,2023-07-09,positive,USPS Parcel Select / Ground Advantage,No
14995,horizonf27,United States,Spencer,MA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",64.33,2023-07-09,2023-07-17,2023-07-17,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14994,johncihak,United States,Lakefield,MN,134240864238,"Halley Luxury Bathrobe for Women & Men[Grey,XL]",bathrobe-grey-XL,No,1.0,39.99,"Arlington Heights, Illinois",42.74,2023-07-08,2023-07-15,2023-07-15,2023-07-09,No Feedback,USPS Parcel Select / Ground Advantage,No
14993,blas_9065,United States,Grandville,MI,134609860281,igloo (Igloo) Max Call Cooler Box 62 QT / 58 L Maximum Cold Storage 5 Days,62836383927-C-P-L1-49.99,No,1.0,92.99,"Arlington Heights, Illinois",0.0,2023-07-08,2023-07-13,2023-07-13,2023-07-09,negative,USPS Parcel Select / Ground Advantage,Yes
14992,sherrjohnso-790,United States,Santee,CA,134228622216,"Beautyrest Black Pillows, 2-Pack Standard Queen",025695983902-C-P-L1-22.99,No,1.0,60.55,"Arlington Heights, Illinois",65.24,2023-07-08,2023-07-15,2023-07-15,2023-07-09,positive,USPS Parcel Select / Ground Advantage,No
